Rk,Team,Year,G,MP,W,L,WIN%,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Champion,Division,MVP
17,Atlanta Hawks*,2023,82,242.1,41,41,0.5,44.6,92.4,0.483,10.8,30.5,0.352,33.9,61.8,0.548,18.5,22.6,0.818,11.2,33.2,44.4,25,7.1,4.9,12.9,18.8,118.4,,Southeast Division,
2,Boston Celtics*,2023,82,243.7,57,25,0.695121951,42.2,88.8,0.475,16,42.6,0.377,26.2,46.2,0.567,17.5,21.6,0.812,9.7,35.6,45.3,26.7,6.4,5.2,13.4,18.8,117.9,,Atlantic Division,
9,Brooklyn Nets*,2023,82,240.6,45,37,0.548780488,41.5,85.1,0.487,12.8,33.8,0.378,28.7,51.3,0.559,17.7,22.1,0.8,8.2,32.3,40.5,25.5,7.1,6.2,13.7,21.1,113.4,,Atlantic Division,
27,Charlotte Hornets,2023,82,241.8,27,55,0.329268293,41.3,90.4,0.457,10.7,32.5,0.33,30.5,57.9,0.528,17.6,23.6,0.749,11,33.5,44.5,25.1,7.7,5.2,14.2,20.3,111,,Southeast Division,
19,Chicago Bulls*,2023,82,242.7,40,42,0.487804878,42.5,86.8,0.49,10.4,28.9,0.361,32.1,57.9,0.555,17.6,21.8,0.809,8.5,33.9,42.4,24.5,7.9,4.5,13.4,18.9,113.1,,Central Division,
5,Cleveland Cavaliers*,2023,82,242.4,51,31,0.62195122,41.6,85.2,0.488,11.6,31.6,0.367,30,53.6,0.559,17.5,22.5,0.78,9.7,31.4,41.1,24.9,7.1,4.7,13.3,19,112.3,,Central Division,
21,Dallas Mavericks,2023,82,243,38,44,0.463414634,40,84.3,0.475,15.2,41,0.371,24.8,43.3,0.574,19,25.1,0.755,7.6,31.2,38.8,22.9,6.3,3.7,12.2,20.7,114.2,,Southwest Division,
4,Denver Nuggets*,2023,82,240.9,53,29,0.646341463,43.6,86.4,0.504,11.8,31.2,0.379,31.8,55.2,0.575,16.8,22.4,0.751,10.1,32.9,43,28.9,7.5,4.5,14.5,18.6,115.8,Yes,Northwest Division,
30,Detroit Pistons,2023,82,241.5,17,65,0.207317073,39.6,87.1,0.454,11.4,32.4,0.351,28.2,54.6,0.516,19.8,25.7,0.771,11.2,31.3,42.4,23,7,3.8,15.1,22.1,110.3,,Central Division,
11,Golden State Warriors*,2023,82,241.8,44,38,0.536585366,43.1,90.2,0.479,16.6,43.2,0.385,26.5,47,0.564,16,20.2,0.794,10.5,34.1,44.6,29.8,7.2,3.9,16.3,21.4,118.9,,Pacific Division,
28,Houston Rockets,2023,82,240.9,22,60,0.268292683,40.6,88.9,0.457,10.4,31.9,0.327,30.2,56.9,0.53,19.1,25.3,0.754,13.4,32.9,46.3,22.4,7.3,4.6,16.2,20.5,110.7,,Southwest Division,
23,Indiana Pacers,2023,82,240.9,35,47,0.426829268,42,89.6,0.469,13.6,37,0.367,28.4,52.6,0.54,18.7,23.7,0.79,10.1,31.4,41.5,27,7.7,5.8,14.9,21.2,116.3,,Central Division,
,League Average,2023,82,241.8,,,#DIV/0!,42,88.3,0.475,12.3,34.2,0.361,29.6,54.1,0.548,18.4,23.5,0.782,10.4,33,43.4,25.3,7.3,4.7,14.1,20,114.7,,,
12,Los Angeles Clippers*,2023,82,241.8,44,38,0.536585366,41.1,86.1,0.477,12.7,33.4,0.381,28.4,52.7,0.539,18.7,23.9,0.781,9.8,33.4,43.2,23.9,7.1,4.4,14.2,19.5,113.6,,Pacific Division,
14,Los Angeles Lakers*,2023,82,242.4,43,39,0.524390244,42.9,89,0.482,10.8,31.2,0.346,32.1,57.8,0.555,20.6,26.6,0.775,10,35.7,45.7,25.3,6.4,4.6,14.1,17.9,117.2,,Pacific Division,
6,Memphis Grizzlies*,2023,82,241.2,51,31,0.62195122,43.7,92.1,0.475,12,34.2,0.351,31.7,57.9,0.548,17.5,23.8,0.733,12,34.6,46.6,26,8.3,5.8,13.6,20,116.9,,Southwest Division,
13,Miami Heat*,2023,82,241.5,44,38,0.536585366,39.2,85.3,0.46,12,34.8,0.344,27.3,50.5,0.54,19.1,23,0.831,9.7,30.9,40.6,23.8,8,3,13.5,18.5,109.5,,Southeast Division,
1,Milwaukee Bucks*,2023,82,241.8,58,24,0.707317073,42.7,90.4,0.473,14.8,40.3,0.368,27.9,50.1,0.557,16.6,22.4,0.743,11.1,37.5,48.6,25.8,6.4,4.9,14.6,18.1,116.9,,Central Division,
15,Minnesota Timberwolves*,2023,82,241.8,42,40,0.512195122,42.9,87.4,0.49,12.2,33.3,0.365,30.7,54.1,0.568,17.9,23.7,0.755,9.1,32.8,41.9,26.2,8,5.4,15.3,21.6,115.8,,Northwest Division,
16,New Orleans Pelicans*,2023,82,242.1,42,40,0.512195122,42,87.6,0.48,11,30.1,0.364,31.1,57.5,0.541,19.3,24.4,0.793,10.6,33.1,43.7,25.9,8.3,4.1,14.6,20.5,114.4,,Southwest Division,
8,New York Knicks*,2023,82,243.4,47,35,0.573170732,42,89.4,0.47,12.6,35.7,0.354,29.4,53.6,0.547,19.4,25.5,0.761,12.6,34,46.6,22.9,6.4,4.1,13,20.3,116,,Atlantic Division,
20,Oklahoma City Thunder*,2023,82,242.1,40,42,0.487804878,43.1,92.6,0.465,12.1,34.1,0.356,31,58.5,0.53,19.2,23.7,0.809,11.4,32.3,43.6,24.4,8.2,4.2,13,21,117.5,,Northwest Division,
25,Orlando Magic,2023,82,241.2,34,48,0.414634146,40.5,86.3,0.47,10.8,31.1,0.346,29.8,55.2,0.539,19.6,25,0.784,10.2,33.1,43.2,23.2,7.4,4.7,15.1,20.1,111.4,,Southeast Division,
3,Philadelphia 76ers*,2023,82,242.4,54,28,0.658536585,40.8,83.8,0.487,12.6,32.6,0.387,28.2,51.2,0.551,21,25.1,0.835,8.7,32.2,40.9,25.2,7.7,4.7,13.7,20.4,115.2,,Atlantic Division,Yes
10,Phoenix Suns*,2023,82,241.2,45,37,0.548780488,42.1,90.1,0.467,12.2,32.6,0.374,29.9,57.5,0.52,17.2,21.7,0.793,11.8,32.4,44.2,27.3,7.1,5.3,13.5,21.2,113.6,,Pacific Division,
26,Portland Trail Blazers,2023,82,240.6,33,49,0.402439024,40.5,85.4,0.474,12.9,35.3,0.365,27.6,50.1,0.55,19.6,24.6,0.796,9.4,31.1,40.5,24.2,6.7,4.6,14.5,20,113.4,,Northwest Division,
7,Sacramento Kings*,2023,82,241.8,48,34,0.585365854,43.6,88.2,0.494,13.8,37.3,0.369,29.8,50.9,0.586,19.8,25.1,0.79,9.5,32.9,42.5,27.3,7,3.4,13.5,19.7,120.7,,Pacific Division,
29,San Antonio Spurs,2023,82,242.1,22,60,0.268292683,43.1,92.6,0.465,11.1,32.2,0.345,32,60.4,0.529,15.8,21.2,0.743,11.8,31.9,43.7,27.2,7,3.9,15.3,19.9,113,,Southwest Division,
18,Toronto Raptors*,2023,82,241.5,41,41,0.5,41.9,91.3,0.459,10.7,32,0.335,31.1,59.3,0.525,18.4,23.4,0.784,12.7,30.3,43,23.9,9.4,5.2,11.7,20,112.9,,Atlantic Division,
22,Utah Jazz,2023,82,241.5,37,45,0.451219512,42.5,89.8,0.473,13.3,37.8,0.353,29.2,52,0.56,18.7,23.8,0.786,11.8,34.1,45.9,26,6.1,5.2,15.4,20.5,117.1,,Northwest Division,
24,Washington Wizards,2023,82,240.9,35,47,0.426829268,42.1,86.9,0.485,11.3,31.7,0.356,30.9,55.2,0.559,17.6,22.4,0.785,9.4,34.2,43.6,25.4,6.8,5.2,14.1,18.8,113.2,,Southeast Division,
16,Atlanta Hawks*,2022,82,240.3,43,39,0.524390244,41.5,88.3,0.47,12.9,34.4,0.374,28.6,53.9,0.531,18.1,22.3,0.812,10,33.9,44,24.6,7.2,4.2,11.9,18.7,113.9,,Southeast Division,
6,Boston Celtics*,2022,82,242.7,51,31,0.62195122,40.7,87.4,0.466,13.2,37.1,0.356,27.5,50.3,0.547,17,20.9,0.816,10.5,35.5,46.1,24.8,7.2,5.8,13.6,18.5,111.8,,Atlantic Division,
14,Brooklyn Nets*,2022,82,240.9,44,38,0.536585366,42,88.4,0.475,11.5,31.7,0.361,30.5,56.7,0.538,17.5,21.7,0.805,10.3,34.1,44.4,25.3,7.1,5.5,14.1,20.4,112.9,,Atlantic Division,
